y_true,pll,oof_doubles,oof_position,pos_i,pos_j
0.15836951,5.795609,0.14492598176002502,0.0743522122502327,3,133
-0.007055773,-0.18506932,0.03908606246113777,0.0682259052991867,3,5
-0.0615153,-0.13391495,-0.0313737727701664,0.00362486788071692,3,101
-0.13156916,-0.36680496,-0.07852233201265335,-0.050963301211595535,3,183
0.25751838,7.730283,0.15272875130176544,0.03684861958026886,3,34
-0.008075213,5.6223993,0.27985894680023193,0.12746216356754303,3,6
0.044117983,2.1080256,-0.010620648972690105,-0.01571149006485939,3,32
-0.14151736,3.9420078,0.002023794688284397,-0.04634464532136917,3,36
-0.01759903,5.017356,-0.004975887015461922,0.04518186300992966,3,76
-0.017868172,2.8367696,-0.12214119732379913,-0.04476520046591759,3,235
-0.16260111,1.3759477,0.048321500420570374,0.003009341424331069,3,172
0.020182267,2.6581693,0.11329522728919983,0.050414856523275375,3,158
-0.16446279,1.6375926,-0.060470059514045715,-0.04543491452932358,3,79
-0.028874014,1.7824874,0.11986494064331055,0.06565730273723602,3,195
-0.020811716,-0.97783446,0.10755836218595505,0.02151869237422943,3,136
0.09110824,0.5056282,-0.003683996619656682,0.006128971464931965,3,113
-0.04505357,4.549448,0.05208097770810127,0.238016277551651,3,135
0.07623488,0.0666312,0.11855162680149078,0.042821258306503296,3,164
-0.0010278294,-0.09368372,-0.08874938637018204,-0.1251697838306427,3,212
0.10868877,4.4959674,0.06053495034575462,0.010165276005864143,3,23
0.043132402,4.893726,0.03468245640397072,0.09617985785007477,3,80
-0.13204946,3.5753164,0.06046333163976669,0.2625555694103241,3,65
-0.09777408,2.6694186,-0.0009338842355646193,0.07159971445798874,3,118
-0.19741157,2.8709152,-0.03212565928697586,0.09568814933300018,3,95
0.09498622,3.7785578,-0.006001971662044525,0.08826830238103867,3,26
0.2044827,5.4404225,-0.03821619972586632,0.04372032731771469,3,52
-0.067491695,1.8984855,-0.07580488175153732,0.07459850609302521,3,79
-0.023986984,-0.062829375,0.021854789927601814,0.03825853019952774,3,107
0.10120215,-1.4138808,0.0030702624935656786,-0.02584146335721016,3,113
0.112423345,0.29052734,0.03330550342798233,0.1686031073331833,3,131
-0.052389998,3.914246,0.08657266944646835,0.004752932116389275,3,156
0.021591514,0.10948682,-0.028819691389799118,-0.04200950264930725,3,156
0.25131798,0.6696173,-0.009973209351301193,-0.025341227650642395,3,162
-0.03671038,0.42874062,0.027830662205815315,0.16901835799217224,3,214
0.03975343,0.8011348,0.06498424708843231,0.1152915358543396,3,131
-0.014128659,0.3588183,0.008350607939064503,0.002948848996311426,3,101
0.017133752,0.8612547,0.02861833944916725,-0.009170291014015675,3,153
-0.016171066,2.3724508,0.08308879286050797,-0.10200546681880951,3,105
-0.07800924,3.9473844,0.10572401434183121,0.0005967188626527786,3,135
-0.004763752,0.29174733,0.016616562381386757,0.05994309112429619,3,144
0.0013549873,4.199184,-0.008207563310861588,0.03517824783921242,3,149
-0.04881968,-0.030045748,-0.07431912422180176,-0.0014083865098655224,3,159
-0.13156915,4.0092063,0.1555606573820114,0.052152492105960846,3,125
0.07120106,6.5467954,-0.060314200818538666,0.2749703526496887,3,8
0.2129801,-0.918892,-0.030882369726896286,0.11209185421466827,3,99
-0.008126193,2.8860517,0.10426410287618637,0.08015357702970505,3,116
0.15422626,3.7237577,0.057707902044057846,0.004100922029465437,3,134
-0.0996103,4.209994,-0.006152890622615814,-0.01379297859966755,3,35
0.0068657184,-0.35826504,0.04204460605978966,-0.03504486382007599,3,100
0.06739288,2.3697982,-0.04571341350674629,0.19499965012073517,3,71
0.25651878,-1.430067,0.07020722329616547,-0.018643101677298546,3,83
0.0045255506,-1.2849026,-0.135274276137352,-0.2541922628879547,3,84
-0.1315686,7.385523,-0.07662510126829147,0.14087916910648346,3,40
0.099723816,-0.3674575,-0.03930159658193588,-0.04388180002570152,3,161
0.0016523858,-0.55471146,0.09568088501691818,0.1306210607290268,3,171
-0.088075645,5.482356,0.027937768027186394,0.171682208776474,3,47
-0.180622,2.4334219,-0.02280036173760891,-0.01612187922000885,3,139
-0.10042518,1.5822675,0.13396568596363068,0.004237971268594265,3,169
0.0053720623,-1.0125332,0.03466273099184036,-0.05469757318496704,3,81
0.1438805,1.2379472,0.07722017168998718,-0.06964564323425293,3,128
0.055620346,-1.4956768,0.011889887042343616,-0.1334163099527359,3,14
0.04181261,-1.7448522,-0.08915174007415771,0.029964864253997803,3,161
0.07866853,-0.66330457,0.15674607455730438,0.20667876303195953,3,171
0.1394604,0.96022975,0.15207834541797638,-0.1524307131767273,3,188
-0.17193128,1.5707911,0.014797473326325417,-0.10768253356218338,3,8
0.09862201,-1.8874915,0.14806319773197174,-0.0019960682839155197,3,10
-0.1100604,-0.71809053,0.031440019607543945,-0.09550116211175919,3,160
0.18350834,0.21966875,0.056692108511924744,0.020014891400933266,3,229
-0.012830642,1.7594069,-0.05129007250070572,-0.29392582178115845,3,148
0.21395394,-0.3139341,-0.049841079860925674,-0.03281690552830696,3,181
